vertex1, vertex2, weight
2557, 5716, 744
2557, 3805, 713
3805, 5716, 708
2650, 3805, 701
2557, 2650, 694
2650, 5716, 668
5306, 6166, 616
2959, 5306, 526
859, 2664, 446
4898, 6066, 422
154, 6148, 406
1289, 3495, 390
5467, 6306, 389
859, 5736, 386
859, 6066, 385
859, 6148, 384
4155, 5306, 380
859, 4898, 374
2664, 4898, 372
4704, 5306, 356
1127, 5467, 344
2664, 5736, 344
133, 2603, 335
2664, 6066, 333
1127, 6306, 331
859, 2399, 322
403, 2603, 319
403, 1289, 317
133, 403, 309
2603, 3495, 309
1289, 4366, 308
403, 3495, 307
1127, 3950, 303
2664, 6148, 301
2399, 4898, 301
1289, 2603, 299
154, 859, 295
2399, 2664, 294
133, 1289, 293
154, 2664, 291
2959, 4704, 286
133, 3495, 285
1289, 6306, 277
3950, 5002, 276
4898, 6148, 273
2399, 6148, 269
3950, 6306, 267
4045, 5736, 266
154, 2399, 263
4366, 5467, 261
1347, 3918, 261
4898, 6313, 261
1289, 5467, 261
5736, 6066, 255
4898, 5736, 254
6066, 6148, 254
2399, 6066, 253
3950, 5467, 250
2664, 6313, 249
337, 2548, 249
3135, 5306, 249
4366, 6306, 248
154, 4898, 244
859, 2971, 244
5306, 5732, 240
154, 6066, 239
5736, 6148, 238
1127, 4366, 236
2959, 6166, 235
4726, 6306, 232
2650, 4650, 230
3805, 4650, 228
1818, 2506, 227
6066, 6313, 226
4726, 5467, 224
2506, 6084, 220
1818, 6084, 217
859, 6313, 216
3495, 4366, 214
4454, 4898, 210
2399, 5736, 210
323, 5736, 209
1602, 6316, 208
2959, 4155, 208
2548, 4759, 207
2399, 6313, 206
1127, 1289, 205
1127, 4726, 205
5099, 5736, 204
2557, 4650, 202
4650, 5716, 198
1127, 5002, 197
154, 6313, 194
3950, 4366, 189
2664, 2666, 189
859, 1805, 189
154, 5736, 189
4155, 6166, 188
403, 4366, 188
5736, 6084, 187
1818, 5736, 186
4704, 6166, 186
6148, 6313, 186
2506, 5736, 186
2664, 2971, 183
133, 4366, 183
2971, 6066, 182
859, 2449, 182
3245, 5736, 182
4087, 5306, 181
3530, 5716, 179
854, 5540, 178
2959, 3135, 178
1077, 1602, 178
2603, 4366, 174
2548, 3035, 173
859, 5046, 172
5002, 6306, 169
403, 859, 169
859, 5716, 168
859, 3805, 166
859, 4454, 165
323, 5099, 164
1657, 2016, 164
4395, 6306, 164
3495, 5467, 162
2971, 5736, 160
2971, 6148, 160
2689, 6402, 159
323, 4045, 159
859, 5516, 158
859, 2557, 158
1289, 3950, 158
323, 6084, 157
4045, 5099, 156
859, 2016, 155
1347, 4125, 155
1602, 2548, 154
323, 2506, 154
323, 1818, 154
5002, 5467, 154
2971, 4898, 153
2399, 4454, 152
854, 6300, 150
859, 2650, 149
337, 4759, 148
854, 3691, 148
2399, 3712, 147
2557, 5306, 147
403, 6306, 146
4395, 4726, 146
403, 4898, 145
3495, 6306, 145
859, 5306, 145
403, 6066, 144
3691, 5540, 144
2959, 5732, 144
545, 859, 143
3530, 3805, 143
403, 2664, 142
2650, 3530, 141
4454, 6066, 141
2557, 3530, 141
545, 2449, 139
403, 5467, 139
4088, 5306, 138
2506, 5099, 137
2506, 4045, 136
1818, 5099, 136
4045, 6084, 135
1818, 4045, 135
4395, 5467, 134
5046, 6148, 133
533, 6066, 132
5099, 6084, 132
3245, 4045, 132
4366, 4726, 131
533, 859, 131
3950, 4726, 130
5540, 6300, 130
2397, 4289, 129
2664, 5716, 129
2184, 2728, 129
3805, 5736, 129
2664, 3805, 128
5306, 6160, 128
154, 4454, 128
3135, 6166, 127
2557, 5046, 127
133, 5467, 127
5716, 5736, 126
859, 921, 126
824, 2658, 126
5306, 5716, 126
5736, 6313, 125
4366, 5002, 125
3135, 5732, 124
4454, 6148, 124
2557, 5736, 124
649, 854, 124
5046, 5736, 123
133, 6306, 123
337, 3035, 123
505, 2184, 122
3691, 6300, 122
3135, 4155, 122
545, 1347, 122
2650, 5046, 122
1602, 3986, 122
2040, 5467, 122
3805, 5046, 122
1265, 5716, 121
3805, 5306, 121
1289, 4726, 121
505, 2728, 121
2603, 5467, 121
867, 3601, 120
5732, 6166, 120
154, 2971, 120
533, 2664, 120
545, 6066, 120
2548, 5613, 120
2449, 6066, 120
2397, 6306, 120
2040, 4726, 120
522, 859, 119
859, 875, 119
403, 6148, 119
505, 3594, 119
1265, 2557, 119
1582, 5716, 119
3601, 3950, 118
2397, 5467, 118
2040, 6306, 118
4155, 5732, 117
2548, 3986, 117
154, 545, 117
2503, 2664, 117
1582, 3805, 115
4087, 6166, 115
3918, 4125, 115
875, 6148, 115
2184, 3594, 114
2502, 2664, 114
1582, 2557, 114
2650, 2664, 114
3135, 4704, 114
2449, 5736, 114
2544, 4398, 114
3601, 5002, 114
1892, 3066, 114
2728, 3594, 113
522, 2449, 113
2799, 5736, 112
649, 5540, 112
1265, 4454, 112
859, 2548, 111
2449, 6148, 111
2422, 5736, 111
2203, 5306, 111
2650, 5736, 111
323, 3245, 110
1289, 2397, 110
403, 6313, 110
2664, 4454, 110
1535, 2548, 110
5306, 5970, 109
340, 1289, 109
867, 3950, 109
533, 4898, 108
2557, 2664, 108
403, 2040, 108
5776, 6313, 107
859, 4599, 107
867, 5002, 107
2399, 2971, 106
2422, 4045, 106
649, 5762, 106
1265, 3805, 105
2959, 4087, 105
2548, 5516, 105
3495, 5525, 105
4155, 4704, 105
2399, 5776, 105
403, 4726, 104
2544, 4860, 104
3712, 6313, 104
1127, 4395, 104
4898, 5978, 104
859, 4441, 104
3956, 3986, 103
533, 5736, 103
1347, 5306, 103
4759, 5613, 103
854, 5467, 102
2650, 5516, 102
3231, 3950, 102
1347, 2811, 102
5019, 5644, 102
133, 1127, 102
340, 6306, 102
5046, 6066, 102
2811, 5306, 102
5516, 5716, 102
5716, 6066, 101
340, 5467, 101
4726, 5002, 101
154, 2449, 100
3231, 5002, 100
1077, 6316, 100
2548, 2557, 99
3245, 5099, 99
2548, 5716, 99
4898, 5716, 99
5540, 6141, 99
545, 2399, 99
1127, 3329, 99
4454, 5736, 99
5306, 5308, 98
854, 6141, 98
2603, 6306, 98
2502, 2503, 98
3245, 6084, 98
2557, 6066, 98
1084, 1319, 97
2650, 5306, 97
2548, 3956, 97
3329, 3950, 97
5046, 5716, 97
1805, 4607, 96
1582, 2650, 96
854, 6306, 96
1289, 4289, 96
1265, 2650, 96
274, 3989, 96
337, 5613, 96
854, 5762, 96
1818, 3245, 95
3805, 6148, 95
1127, 3495, 95
2506, 3245, 95
2040, 4366, 95
545, 4898, 95
5306, 5736, 95
3594, 5716, 95
154, 403, 95
2557, 3302, 95
533, 2399, 95
2422, 2506, 95
545, 2664, 94
1818, 2422, 94
6141, 6300, 94
545, 4454, 94
1989, 3750, 94
2664, 5306, 94
875, 5046, 94
2548, 5306, 93
3950, 4240, 93
5306, 5354, 93
6160, 6166, 93
2664, 5046, 93
340, 1127, 93
340, 3055, 93
2971, 6313, 93
2557, 3594, 93
2040, 3495, 92
2449, 4454, 92
3055, 6306, 92
508, 5306, 92
2650, 6066, 92
1602, 5516, 92
2557, 5516, 92
854, 3359, 91
4898, 5046, 91
1127, 2397, 91
505, 5874, 91
3495, 4726, 91
2184, 5874, 91
403, 4395, 91
3495, 4395, 91
545, 6148, 90
2557, 6148, 90
2728, 5874, 90
2016, 2664, 90
2544, 3989, 90
133, 4395, 90
3805, 6066, 90
403, 5736, 90
2422, 6084, 89
4088, 5732, 89
1594, 5306, 89
1289, 4395, 89
3805, 4898, 89
2548, 3805, 89
1602, 3956, 89
5716, 6148, 89
4240, 5002, 88
2557, 4898, 88
5019, 6343, 88
3651, 4415, 88
2449, 4898, 88
2664, 5776, 87
2650, 6148, 87
154, 5776, 87
1265, 6066, 87
1289, 5525, 87
672, 2544, 87
2650, 4898, 87
2664, 5978, 87
2399, 5046, 87
3594, 5874, 87
2544, 5013, 86
3359, 6300, 86
154, 533, 86
3805, 5516, 86
1289, 2040, 86
2422, 5099, 86
3363, 4366, 86
3594, 3805, 86
403, 1127, 85
